"scientificName" "occurrenceRemarks" "occurrenceStatus" "occurrenceStatus01"
"97" "Arabis hirsuta (L.) Scop." "p7-2009" "present" 1
"98" "Arabis hirsuta (L.) Scop." "p8-2009" "present" 1
"99" "Arabis hirsuta (L.) Scop." "p9-2009" "present" 1
"100" "Arabis hirsuta (L.) Scop." "p10-2009" "present" 1
"101" "Arabis hirsuta (L.) Scop." "p11-2009" "present" 1
"102" "Arabis hirsuta (L.) Scop." "p12-2009" "present" 1
"103" "Arabis hirsuta (L.) Scop." "p13-2009" "present" 1
"104" "Arabis hirsuta (L.) Scop." "p14-2009" "present" 1
"105" "Arabis hirsuta (L.) Scop." "p15-2009" "absent" 0
"106" "Arabis hirsuta (L.) Scop." "p1-2019" "absent" 0
"107" "Arabis hirsuta (L.) Scop." "p2-2019" "present" 1
"108" "Arabis hirsuta (L.) Scop." "p3-2019" "present" 1
"109" "Arabis hirsuta (L.) Scop." "p4-2019" "present" 1
"110" "Arabis hirsuta (L.) Scop." "p5-2019" "present" 1
"111" "Arabis hirsuta (L.) Scop." "p6-2019" "present" 1
"112" "Arabis hirsuta (L.) Scop." "p7-2019" "present" 1
"113" "Arabis hirsuta (L.) Scop." "p8-2019" "present" 1
"114" "Arabis hirsuta (L.) Scop." "p9-2019" "present" 1
"115" "Arabis hirsuta (L.) Scop." "p10-2019" "present" 1
"116" "Arabis hirsuta (L.) Scop." "p11-2019" "present" 1
"117" "Arabis hirsuta (L.) Scop." "p12-2019" "present" 1
"118" "Arabis hirsuta (L.) Scop." "p13-2019" "present" 1
"119" "Arabis hirsuta (L.) Scop." "p14-2019" "present" 1
"120" "Arabis hirsuta (L.) Scop." "p15-2019" "present" 1
"121" "Arabis hirsuta (L.) Scop." "p1-2020" "absent" 0
"122" "Arabis hirsuta (L.) Scop." "p2-2020" "present" 1
"123" "Arabis hirsuta (L.) Scop." "p3-2020" "present" 1
"124" "Arabis hirsuta (L.) Scop." "p4-2020" "present" 1
"125" "Arabis hirsuta (L.) Scop." "p5-2020" "present" 1
"126" "Arabis hirsuta (L.) Scop." "p6-2020" "present" 1
"127" "Arabis hirsuta (L.) Scop." "p7-2020" "present" 1
"128" "Arabis hirsuta (L.) Scop." "p8-2020" "present" 1
"129" "Arabis hirsuta (L.) Scop." "p9-2020" "present" 1
"130" "Arabis hirsuta (L.) Scop." "p10-2020" "present" 1
"131" "Arabis hirsuta (L.) Scop." "p11-2020" "present" 1
"132" "Arabis hirsuta (L.) Scop." "p12-2020" "present" 1
"133" "Arabis hirsuta (L.) Scop." "p13-2020" "present" 1
"134" "Arabis hirsuta (L.) Scop." "p14-2020" "present" 1
"135" "Arabis hirsuta (L.) Scop." "p15-2020" "present" 1
"136" "Aria edulis (Willd.) M.Roem." "p1-2009" "absent" 0
"137" "Aria edulis (Willd.) M.Roem." "p2-2009" "present" 1
"138" "Aria edulis (Willd.) M.Roem." "p3-2009" "absent" 0
"139" "Aria edulis (Willd.) M.Roem." "p4-2009" "absent" 0
"140" "Aria edulis (Willd.) M.Roem." "p5-2009" "absent" 0
"141" "Aria edulis (Willd.) M.Roem." "p6-2009" "absent" 0
"142" "Aria edulis (Willd.) M.Roem." "p7-2009" "absent" 0
"143" "Aria edulis (Willd.) M.Roem." "p8-2009" "absent" 0
"144" "Aria edulis (Willd.) M.Roem." "p9-2009" "absent" 0
"145" "Aria edulis (Willd.) M.Roem." "p10-2009" "present" 1
"146" "Aria edulis (Willd.) M.Roem." "p11-2009" "absent" 0
"147" "Aria edulis (Willd.) M.Roem." "p12-2009" "absent" 0
"148" "Aria edulis (Willd.) M.Roem." "p13-2009" "absent" 0
"149" "Aria edulis (Willd.) M.Roem." "p14-2009" "absent" 0
"150" "Aria edulis (Willd.) M.Roem." "p15-2009" "absent" 0
"151" "Aria edulis (Willd.) M.Roem." "p1-2019" "absent" 0
"152" "Aria edulis (Willd.) M.Roem." "p2-2019" "present" 1
"153" "Aria edulis (Willd.) M.Roem." "p3-2019" "absent" 0
"154" "Aria edulis (Willd.) M.Roem." "p4-2019" "absent" 0
"155" "Aria edulis (Willd.) M.Roem." "p5-2019" "absent" 0
"156" "Aria edulis (Willd.) M.Roem." "p6-2019" "absent" 0
"157" "Aria edulis (Willd.) M.Roem." "p7-2019" "absent" 0
"158" "Aria edulis (Willd.) M.Roem." "p8-2019" "present" 1
"159" "Aria edulis (Willd.) M.Roem." "p9-2019" "absent" 0
"160" "Aria edulis (Willd.) M.Roem." "p10-2019" "absent" 0
"161" "Aria edulis (Willd.) M.Roem." "p11-2019" "absent" 0
"162" "Aria edulis (Willd.) M.Roem." "p12-2019" "absent" 0
"163" "Aria edulis (Willd.) M.Roem." "p13-2019" "absent" 0
"164" "Aria edulis (Willd.) M.Roem." "p14-2019" "absent" 0
"165" "Aria edulis (Willd.) M.Roem." "p15-2019" "absent" 0
